error	steps
33538198261.0	1163.0
33537557839.0	1164.0
33535935354.0	1165.0
33535649413.0	1166.0
33534038728.0	1167.0
33531345237.0	1168.0
33529949395.0	1169.0
33529949395.0	1170.0
33527725326.0	1171.0
33526855377.0	1172.0
33524676314.0	1173.0
33523254179.0	1174.0
33521495004.0	1175.0
33515967184.0	1176.0
33512855622.0	1177.0
33512207689.0	1178.0
33510573841.0	1179.0
33510362086.0	1180.0
33509190882.0	1181.0
33508487489.0	1182.0
33506889996.0	1183.0
33506171970.0	1184.0
33503853015.0	1185.0
33501909890.0	1186.0
33501909890.0	1187.0
33498387124.0	1188.0
33494163898.0	1189.0
33493942629.0	1190.0
33491579586.0	1191.0
33490173236.0	1192.0
33489443451.0	1193.0
33487839411.0	1194.0
33487160334.0	1195.0
33484570766.0	1196.0
33482958592.0	1197.0
33482841740.0	1198.0
33480523839.0	1199.0
33479510679.0	1200.0
33478633018.0	1201.0
33477585394.0	1202.0
33476949725.0	1203.0
33476130315.0	1204.0
33474562348.0	1205.0
33470838777.0	1206.0
33469662939.0	1207.0
33466819254.0	1208.0
33464825586.0	1209.0
33462851003.0	1210.0
33461366969.0	1211.0
33460429781.0	1212.0
33459663003.0	1213.0
33459150736.0	1214.0
33458774025.0	1215.0
33454600259.0	1216.0
33453916898.0	1217.0
33453535621.0	1218.0
33451108944.0	1219.0
33450736417.0	1220.0
33447383101.0	1221.0
33446403979.0	1222.0
33443385892.0	1223.0
33443316250.0	1224.0
33443136852.0	1225.0
33441633037.0	1226.0
33436787949.0	1227.0
33435926840.0	1228.0
33432395831.0	1229.0
33431262830.0	1230.0
33431058789.0	1231.0
33429275106.0	1232.0
33428347975.0	1233.0
33428178283.0	1234.0
33428022926.0	1235.0
33426098175.0	1236.0
33423016643.0	1237.0
33422536224.0	1238.0
33420925039.0	1239.0
33417516801.0	1240.0
33413309899.0	1241.0
33410356294.0	1242.0
33407156169.0	1243.0
33406208397.0	1244.0
33403555375.0	1245.0
33401745332.0	1246.0
